mention_a_id	mention_b_id	mention_a	mention_b	sim
21112_201006-77631-03	34710_200709-253004-03	the people of Burma	The Afghan people	0.5185509
21112_201006-77631-03	51320_197006-219052-03	the people of Burma	the Armenian people	0.48478544
92436_201110-362103-02	61320_198411-410930-02	the ratepayers	the wage dependents	0.47131371
92436_201110-362103-02	41113_201709-163470-01	the ratepayers	electricity consumers	0.47694153
32720_200105-286476-02	61620_201211-429725-01	CANADIAN COMMUNITIES	rainbow communities	0.5381554
32720_200105-286476-02	64110_199911-352087-01	CANADIAN COMMUNITIES	caring communities	0.50506663
32720_200105-286476-02	171101_199707-302977-01	CANADIAN COMMUNITIES	-marital communities	0.58871865
32720_200105-286476-02	86710_201804-275016-03	CANADIAN COMMUNITIES	the religious communities	0.5585651
32720_200105-286476-02	62110_200810-97125-02	CANADIAN COMMUNITIES	settlers	0.47171286
32720_200105-286476-02	51320_197410-220767-03	CANADIAN COMMUNITIES	rural and regional Australians	0.47952205
32720_199403-282822-04	31720_200706-215353-06	CANADIANS	American Indian/Alaska Natives	0.47371006
32720_199403-282822-04	51951_201706-247005-02	CANADIANS	poor Americans	0.46034712
32720_199403-282822-04	62110_200810-97125-02	CANADIANS	settlers	0.46200085
32720_199403-282822-04	61320_202011-434723-02	CANADIANS	Americans of every political stripe	0.4933825
32720_199403-282822-04	32720_200105-286476-02	CANADIANS	CANADIAN COMMUNITIES	0.65438986
82110_201005-115917-02	97710_201112-388741-02	scientists in Canada	British scientists and	0.6683191
82110_201005-115917-02	32720_200105-286476-02	scientists in Canada	CANADIAN COMMUNITIES	0.56995
82110_201005-115917-02	32720_199403-282822-04	scientists in Canada	CANADIANS	0.54795194
42420_199410-08317-02	21914_199906-50173-02	working Canadians	Flex workers	0.45611674
42420_199410-08317-02	22110_199405-313749-01	working Canadians	white and blue-collar workers	0.4571557
42420_199410-08317-02	22110_200301-320332-02	working Canadians	Expatriates	0.47144318
42420_199410-08317-02	32720_200105-286476-02	working Canadians	CANADIAN COMMUNITIES	0.6001791
42420_199410-08317-02	32720_199403-282822-04	working Canadians	CANADIANS	0.78382313
42420_199410-08317-02	82110_201005-115917-02	working Canadians	scientists in Canada	0.52288413
42110_199410-07604-02	14820_201104-200709-01	Stateless Persons	state	0.52953845
41521_200909-150655-02	21914_198712-30708-02	Canterbury residents	residents of institutions	0.4999622
41521_200909-150655-02	51320_197410-220767-03	Canterbury residents	rural and regional Australians	0.4678817
86710_201004-267308-02	23112_198906-292612-01	Capital owners	Investors	0.5864434
86710_201004-267308-02	13720_200111-190077-01	Capital owners	occupying owners	0.62171793
86710_201004-267308-02	61320_201611-431137-04	Capital owners	Account holders	0.53275657
86710_201004-267308-02	61620_199611-418580-02	Capital owners	Polish investors	0.47466585
86710_201004-267308-02	11320_201809-400007-02	Capital owners	Everyone who creates intellectual property	0.47869045
86710_201004-267308-02	92436_201910-370091-02	Capital owners	money holders	0.49652773
41113_200509-141818-02	64110_199911-352087-01	care	caring communities	0.5316805
13730_201906-195432-02	171101_200907-304782-01	Catholics	religious leaders	0.5330199
13730_201906-195432-02	86710_201804-275016-03	Catholics	the religious communities	0.5422443
13730_201906-195432-02	21914_198712-30723-02	Catholics	religion	0.59448147
35120_201510-373510-02	171101_200907-304782-01	pastors	religious leaders	0.6178918
35120_201510-373510-02	86710_201804-275016-03	pastors	the religious communities	0.55229306
35120_201510-373510-02	81111_199004-254977-02	pastors	Billionaires	0.48974046
35120_201510-373510-02	13730_201906-195432-02	pastors	Catholics	0.550557
86110_201004-262955-02	21111_201006-76127-01	Chancellors	reformists	0.47430742
86110_201004-262955-02	21111_200706-58010-01	Chancellors	The rulers	0.50938267
86110_201004-262955-02	93712_199611-377437-01	Chancellors	social-democratic federal chancellors	0.6793931
86110_201004-262955-02	31720_200706-215921-01	Chancellors	the delegations	0.49197787
86110_201004-262955-02	86110_201004-262547-02	Chancellors	Journalists	0.4657134
86110_201004-262955-02	92436_201110-364184-02	Chancellors	Advisors	0.46186405
86110_201004-262955-02	42110_201710-18415-02	Chancellors	marshals	0.45850146
86110_201004-262955-02	61620_200411-425725-02	Chancellors	bankers	0.52145344
86110_201004-262955-02	81111_199004-254977-02	Chancellors	Billionaires	0.50479245
86110_201004-262955-02	86421_200204-260497-02	Chancellors	Members of the Bundestag	0.5127454
86110_201004-262955-02	35120_201510-373510-02	Chancellors	pastors	0.48598498
22110_201209-326015-03	51951_200106-233833-02	children in heterosexual families	Rainbow families	0.5020715
22110_201209-326015-03	61320_197211-401951-02	children in heterosexual families	Black children	0.4784881
22110_201209-326015-03	31720_200706-212642-02	children in heterosexual families	Black families	0.52552974
21111_199111-32159-02	22110_200205-317130-03	the Chinese people	million people	0.46844155
21111_199111-32159-02	34710_200709-253004-03	the Chinese people	The Afghan people	0.52876925
21111_199111-32159-02	12951_199309-332244-02	the Chinese people	the Cuban people	0.5910037
21111_199111-32159-02	51320_197006-219052-03	the Chinese people	the Armenian people	0.5004201
21111_199111-32159-02	41320_200509-143184-02	the Chinese people	Asian-American and Pacific Islanders	0.52432585
21111_199111-32159-02	43810_200710-103762-02	the Chinese people	the Estonians	0.49668497
21111_199111-32159-02	21112_201006-77631-03	the Chinese people	the people of Burma	0.57732546
22720_200301-321207-02	171101_200907-304782-01	Christian chaplains	religious leaders	0.5523939
22720_200301-321207-02	86710_201804-275016-03	Christian chaplains	the religious communities	0.47949123
22720_200301-321207-02	13730_201906-195432-02	Christian chaplains	Catholics	0.5228212
22720_200301-321207-02	35120_201510-373510-02	Christian chaplains	pastors	0.672943
41113_201309-154599-02	171101_200907-304782-01	Churches	religious leaders	0.5139362
41113_201309-154599-02	86710_201804-275016-03	Churches	the religious communities	0.64475334
41113_201309-154599-02	21914_198712-30723-02	Churches	religion	0.6134691
41113_201309-154599-02	13730_201906-195432-02	Churches	Catholics	0.6414186
41113_201309-154599-02	35120_201510-373510-02	Churches	pastors	0.7805191
41113_201309-154599-02	22720_200301-321207-02	Churches	Christian chaplains	0.56673515
41320_197610-119199-02	97710_201112-388802-01	Church asylum seekers	detainees	0.48125386
41320_197610-119199-02	86710_201804-275016-03	Church asylum seekers	the religious communities	0.5106635
41320_197610-119199-02	13730_201906-195432-02	Church asylum seekers	Catholics	0.503962
41320_197610-119199-02	35120_201510-373510-02	Church asylum seekers	pastors	0.5227264
41320_197610-119199-02	22720_200301-321207-02	Church asylum seekers	Christian chaplains	0.5128999
41320_197610-119199-02	41113_201309-154599-02	Church asylum seekers	Churches	0.59006846
41113_201709-165664-02	34710_200709-253014-01	Claimants	contractual officials	0.46051645
41113_201709-165664-02	31720_200706-215921-01	Claimants	the delegations	0.51325786
41113_201709-165664-02	22110_200205-317143-03	Claimants	debtors	0.46433407
41113_201709-165664-02	61320_201611-431137-04	Claimants	Account holders	0.45578402
41320_201309-157942-05	32720_200105-286476-02	coal communities	CANADIAN COMMUNITIES	0.49539065
41113_201309-154789-02	22110_199405-313749-01	people of color	white and blue-collar workers	0.45372444
41113_201309-154789-02	41953_202109-180709-03	people of color	A proud people	0.46674764
41113_201309-154789-02	61320_197211-401951-02	people of color	Black children	0.52545387
41113_201309-154789-02	171101_200306-303069-02	people of color	people of advanced age	0.46191752
41113_201309-154789-02	21914_199906-48690-02	people of color	people at risk	0.45238465
41113_201309-154789-02	31720_200706-212642-02	people of color	Black families	0.47210684
41113_201309-154789-02	21914_199505-38125-03	people of color	black men	0.51619285
41113_201309-154789-02	92436_201510-367389-03	people of color	white women	0.5569976
41113_201309-154789-02	21111_199111-32159-02	people of color	the Chinese people	0.55559504
41521_202109-178517-04	61620_198811-414918-02	combatants	recruiters	0.47138837
41521_202109-178517-04	22110_199805-315640-02	combatants	V-people	0.47011706
41521_202109-178517-04	31720_200706-215921-01	combatants	the delegations	0.45655134
41521_202109-178517-04	51620_201912-250202-02	combatants	Marines	0.46025532
12951_200509-338862-02	34710_200709-253014-01	the members of the Commission	contractual officials	0.48670417
12951_200509-338862-02	22110_200205-316552-01	the members of the Commission	representatives of non-governmental organizations	0.5015368
12951_200509-338862-02	31720_200706-215921-01	the members of the Commission	the delegations	0.67463434
12951_200509-338862-02	31720_198603-206960-02	the members of the Commission	Agents	0.460094
12951_200509-338862-02	51951_201706-247239-02	the members of the Commission	stakeholders	0.46944505
12951_200509-338862-02	61620_201611-432529-02	the members of the Commission	members of the National Assembly	0.52931774
64110_201409-354156-03	21111_200706-58010-01	Commissioners of the Queen	The rulers	0.5518421
64110_201409-354156-03	31720_200706-215921-01	Commissioners of the Queen	the delegations	0.5693246
64110_201409-354156-03	42110_201710-18415-02	Commissioners of the Queen	marshals	0.45691887
64110_201409-354156-03	86110_201004-262955-02	Commissioners of the Queen	Chancellors	0.4676608
64110_201409-354156-03	12951_200509-338862-02	Commissioners of the Queen	the members of the Commission	0.6519529
41521_199410-131948-03	97710_201112-388802-01	Committed citizens	detainees	0.51809645
41521_199410-131948-03	21111_200706-59253-01	Committed citizens	future residents	0.4683227
41521_199410-131948-03	12951_199709-334275-01	Committed citizens	non-adaptive citizens	0.5287368
41521_199410-131948-03	42110_199010-04591-01	Committed citizens	second-class citizens	0.46679083
41521_199410-131948-03	21914_198712-30708-02	Committed citizens	residents of institutions	0.4613371
41521_199410-131948-03	42110_201710-18349-02	Committed citizens	authorized persons	0.5246647
92436_201110-365148-03	61620_201211-429725-01	Communities Left Behind	rainbow communities	0.5150852
92436_201110-365148-03	64110_199911-352087-01	Communities Left Behind	caring communities	0.56995475
92436_201110-365148-03	171101_199707-302977-01	Communities Left Behind	-marital communities	0.5020905
92436_201110-365148-03	86710_201804-275016-03	Communities Left Behind	the religious communities	0.52289844
92436_201110-365148-03	32720_200105-286476-02	Communities Left Behind	CANADIAN COMMUNITIES	0.4973029
92436_201110-365148-03	41320_201309-157942-05	Communities Left Behind	coal communities	0.4801141
92436_201510-368355-02	97710_201112-388698-01	the border and language border communities	-language newcomers	0.45616615
92436_201510-368355-02	41111_198701-123774-02	the border and language border communities	borders	0.6977965
51110_201505-239336-04	61320_200811-427181-02	Commuters	Motorists	0.48712772
51110_201505-239336-04	51951_201706-247146-02	Commuters	Cyclists	0.46163118
21914_199906-49694-02	23112_198906-292612-01	competitors	Investors	0.4760266
21914_199906-49694-02	61320_201611-431080-02	competitors	the innovators	0.5095868
21914_199906-49694-02	61620_200011-421778-03	competitors	the negotiators	0.46373177
21914_199906-49694-02	12951_200909-340644-03	competitors	workers threatened by foreign competition	0.48416245
43110_201510-105334-02	97710_201112-388802-01	Condemned persons	detainees	0.48294535
43110_201510-105334-02	31720_200706-213203-02	Condemned persons	-indebted persons	0.51128817
43110_201510-105334-02	13720_201109-193573-02	Condemned persons	those who died in the cause of freedom	0.48565525
43110_201510-105334-02	42110_199410-07604-02	Condemned persons	Stateless Persons	0.4518767
14820_201904-204470-03	22110_200301-320332-02	Consulates	Expatriates	0.47885177
41112_199012-127013-03	21111_201006-76127-01	globalists	reformists	0.48821068
41113_199809-133812-03	92436_201110-364184-02	Counselors	Advisors	0.4725054
41113_199809-133812-03	35120_201510-373510-02	Counselors	pastors	0.51690423
14820_201904-204709-02	21914_199906-49375-01	creative people	makers	0.5259223
14820_201904-204709-02	86710_201404-272751-02	creative people	intellectuals	0.4725942
14820_201904-204709-02	21914_200706-70226-02	creative people	authors	0.46412218
42110_201309-16732-02	21914_199906-49375-01	Creators	makers	0.73040164
42110_201309-16732-02	21111_200706-62468-02	Creators	hosts	0.4626258
42110_201309-16732-02	61320_201611-431137-04	Creators	Account holders	0.46233058
42110_201309-16732-02	61320_201611-431080-02	Creators	the innovators	0.47455597
42110_201309-16732-02	51320_197905-222136-02	Creators	inventors	0.50093937
42110_201309-16732-02	11320_201809-400007-02	Creators	Everyone who creates intellectual property	0.5942224
42110_201309-16732-02	21914_200706-70226-02	Creators	authors	0.5952474
42110_201309-16732-02	14820_201904-204709-02	Creators	creative people	0.5496933
13720_200111-189358-02	61620_198811-414918-02	crews	recruiters	0.5328041
13720_200111-189358-02	21914_199906-50173-02	crews	Flex workers	0.46670735
13720_200111-189358-02	171101_200907-305290-01	crews	The guest workers	0.5624755
13720_200111-189358-02	21111_200706-62468-02	crews	hosts	0.48102832
13720_200111-189358-02	86110_201004-262547-02	crews	Journalists	0.47790867
